signal,value,count,share
purpose,purchase,4,0.4
purpose,product_information,3,0.3
purpose,return_or_refund,2,0.2
purpose,promotion_information,1,0.1
purchase_intent,low,4,0.4
purchase_intent,high,3,0.3
purchase_intent,medium,3,0.3
stage,consideration,4,0.4
stage,discovery,3,0.3
stage,post_purchase,2,0.2
stage,checkout,1,0.1
urgency,none,5,0.5
urgency,unknown,2,0.2
urgency,low,2,0.2
urgency,high,1,0.1
price_sensitivity,none,5,0.5
price_sensitivity,interest,3,0.3
price_sensitivity,unknown,1,0.1
price_sensitivity,blocking,1,0.1
deal_seeking,none,9,0.9
deal_seeking,interested,1,0.1
delivery_intent,none,6,0.6
delivery_intent,checkout_details,2,0.2
delivery_intent,readiness,2,0.2
sales_agreement,none,6,0.6
sales_agreement,complete,3,0.3
sales_agreement,unknown,1,0.1
stated_exit_reason,not_stated,6,0.6
stated_exit_reason,chose_alternative,1,0.1
stated_exit_reason,price,1,0.1
stated_exit_reason,changed_mind,1,0.1
stated_exit_reason,product_fit,1,0.1
next_step_agreed,null,5,0.5
next_step_agreed,True,4,0.4
next_step_agreed,False,1,0.1
blocking_barrier,False,7,0.7
blocking_barrier,True,3,0.3
resolved_barrier,False,9,0.9
resolved_barrier,True,1,0.1
competitor_mentioned,False,10,1.0
ad_message_match,partial,5,0.5
ad_message_match,aligned,4,0.4
ad_message_match,mismatch,1,0.1
