signal,value,count,share
purpose,purchase,5,0.5
purpose,product_information,3,0.3
purpose,return_or_refund,1,0.1
purpose,promotion_information,1,0.1
purchase_intent,low,4,0.4
purchase_intent,high,4,0.4
purchase_intent,medium,2,0.2
specificity,high,6,0.6
specificity,medium,2,0.2
specificity,none,2,0.2
stage,discovery,5,0.5
stage,checkout,3,0.3
stage,post_purchase,1,0.1
stage,consideration,1,0.1
urgency,none,9,0.9
urgency,high,1,0.1
urgency_elicited_by_agent,False,6,0.6
urgency_elicited_by_agent,null,4,0.4
price_sensitivity,none,4,0.4
price_sensitivity,interest,3,0.3
price_sensitivity,unknown,2,0.2
price_sensitivity,sensitive,1,0.1
deal_seeking,none,9,0.9
deal_seeking,interested,1,0.1
financing,none,10,1.0
delivery_intent,none,7,0.7
delivery_intent,checkout_details,3,0.3
delivery_elicited_by_agent,False,5,0.5
delivery_elicited_by_agent,null,4,0.4
delivery_elicited_by_agent,True,1,0.1
sales_agreement,none,4,0.4
sales_agreement,complete,4,0.4
sales_agreement,unknown,2,0.2
agent_tone_quality,positive,7,0.7
agent_tone_quality,not_assessable,2,0.2
agent_tone_quality,neutral,1,0.1
stated_exit_reason,not_stated,7,0.7
stated_exit_reason,changed_mind,2,0.2
stated_exit_reason,product_fit,1,0.1
next_step_agreed,True,5,0.5
next_step_agreed,False,4,0.4
next_step_agreed,null,1,0.1
blocking_barrier,False,7,0.7
blocking_barrier,True,3,0.3
resolved_barrier,False,9,0.9
resolved_barrier,True,1,0.1
competitor_mentioned,False,10,1.0
ad_message_match,aligned,4,0.4
ad_message_match,partial,4,0.4
ad_message_match,mismatch,2,0.2
